"id";"MeetingName";"Date";"Time";"DateTime";"Contact";"PageURL";"AgendaHTML";"AgendaPDF";"ActionSummaryHTML";"ActionSummaryPDF";"MinutesHTML";"MinutesPDF";"VideoLink";"MeetID";"UnixDateTime"
"64";"Transit Commission";"2012-Dec-10";"1:00 PM";"41253.5417";"Melody Duffenais613-580-2424 x20113
                Email: Melody.Duffenais@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2442&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4251";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2442&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=4251";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2442&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=4251";NULL;"2442";"1355230800"
"65";"Planning Committee";"2012-Dec-11";"9:30 AM";"41254.3958";"Christopher Zwierzchowski613-580-2424 x21359
                Email: Christopher.Zwierzchowski@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2282&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4259";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2282&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=4259";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2282&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=4259";NULL;"2282";"1355304600"
"66";"City Council";"2012-Dec-12";"10:00 AM";"41255.4167";"Delegation Registration613-580-2424 x21837 or/ou x12487
                Email: councildelegations@ottawa.ca      Dawn.Whelan@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2447&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4265";NULL;NULL;"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2447&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=4265";NULL;"2447";"1355392800"
"67";"Court of Revision";"2012-Dec-13";"10:00 AM";"41256.4167";"Dawn Whelan613-580-2424 x21837
                Email: Dawn.Whelan@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2446&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4284";NULL;NULL;NULL;NULL;NULL;"2446";"1355479200"
"68";"City Council";"2012-Dec-19";"10:00 AM";"41262.4167";"Dawn Whelan613-580-2424 x21837
                Email: Dawn.Whelan@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2439&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4345";NULL;NULL;"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2439&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=4345";NULL;"2439";"1355997600"
"69";"Court of Revision- Resuming from the meeting of December 13, 2012";"2013-Jan-09";"10:00 AM";"41283.4167";"Dawn Whelan613-580-2424 x 21837
                Email: Dawn.Whelan@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2483&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4445";NULL;NULL;NULL;NULL;NULL;"2483";"1357812000"
"70";"Planning Committee";"2013-Jan-14";"9:30 AM";"41288.3958";"Christopher Zwierzchowski613-580-2424, ext. 21359
                Email: Christopher.Zwierzchowski@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2406&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4478";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2406&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=4478";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2406&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=4478";NULL;"2406";"1358242200"
"71";"Environment Committee";"2013-Jan-15";"9:30 AM";"41289.3958";"Carole Legault613-580-2424 x28934
                Email: Carolea.Legault@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2292&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4485";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2292&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=4485";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2292&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=4485";NULL;"2292";"1358328600"
"72";"Transit Commission";"2013-Jan-16";"9:30 AM";"41290.3958";"Melody Duffenais613-580-2424, ext./poste 20113
                Email: melody.duffenais@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2271&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4492";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2271&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=4492";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2271&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=4492";NULL;"2271";"1358415000"
"73";"Community and Protective Services Committee";"2013-Jan-17";"9:30 AM";"41291.3958";"Marc Desjardins613 580 2424 ext 28821
                Email: marc.desjardins@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2438&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4529";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2438&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=4529";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2438&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=4529";NULL;"2438";"1358501400"
"74";"Agriculture and Rural Affairs Committee";"2013-Jan-17";"1:30 PM";"41291.5625";"Marc Desjardins613-580-2424 x28821
                Email: Marc.Desjardins@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2431&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4499";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2431&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=4499";NULL;NULL;NULL;"2431";"1358515800"
"75";"Ottawa Built Heritage Advisory Committee";"2013-Jan-17";"6:00 PM";"41291.7500";"Kelly Sammon613-580-2424 ext. 16875
                Email: kelly.sammon@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2452&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4530";NULL;NULL;NULL;NULL;NULL;"2452";"1358532000"
"76";"Finance and Economic Development Committee";"2013-Jan-21";"9:30 AM";"41295.3958";"Diane Blais613-580-2424 x28091
                Email: Diane.Blais@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2424&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4607";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2424&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=4607";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2424&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=4607";NULL;"2424";"1358847000"
"77";"City Council";"2013-Jan-23";"10:00 AM";"41297.4167";"Dawn Whelan613-580-2424 x21837
                Email: Dawn.Whelan@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2480&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4662";NULL;NULL;"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2480&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=4662";"<img src=""templates/classic/images/wmv.gif"" alt=""Windows Media Player"" border=""0"">";"2480";"1359021600"
"78";"Court of Revision- Resuming from December 13, 2012 and January 9, 2013.";"2013-Jan-30";"10:00 AM";"41304.4167";"Dawn Whelan613-580-2424 x21837
                Email: dawn.whelan@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2486&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4730";NULL;NULL;NULL;NULL;NULL;"2486";"1359626400"
"79";"Finance and Economic Development Committee";"2013-Feb-05";"9:30 AM";"41310.3958";"Diane Blais613-580-2424 x28091
                Email: Diane.Blais@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2347&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4742";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2347&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=4742";NULL;NULL;"<img src=""templates/classic/images/wmv.gif"" alt=""Windows Media Player"" border=""0"">";"2347";"1360143000"
"80";"Transportation Committee";"2013-Feb-06";"9:30 AM";"41311.3958";"Rosemary Theriault(613) 580-2424 x21624
                Email: Rosemary.Theriault@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2233&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4759";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2233&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=4759";NULL;NULL;"<img src=""templates/classic/images/wmv.gif"" alt=""Windows Media Player"" border=""0"">";"2233";"1360229400"
"81";"Agriculture and Rural Affairs Committee";"2013-Feb-07";"9:30 AM";"41312.3958";"Marc Desjardins613-580-2424 ext. 28821
                Email: marc.desjardins@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2316&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4770";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2316&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=4770";NULL;NULL;"<img src=""templates/classic/images/wmv.gif"" alt=""Windows Media Player"" border=""0"">";"2316";"1360315800"
"82";"Planning Committee";"2013-Feb-12";"9:30 AM";"41317.3958";"Christopher Zwierzchowski613-580-2424, ext/poste 21359
                Email: christopher.zwierzchowski@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2326&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4796";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2326&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=4796";NULL;NULL;"<img src=""templates/classic/images/wmv.gif"" alt=""Windows Media Player"" border=""0"">";"2326";"1360747800"
"83";"City Council";"2013-Feb-13";"10:00 AM";"41318.4167";"Dawn Whelan613-580-2424 x21837
                Email: Dawn.Whelan@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2479&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4855";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2479&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=4855";NULL;NULL;"<img src=""templates/classic/images/wmv.gif"" alt=""Windows Media Player"" border=""0"">";"2479";"1360836000"
"84";"Environment Committee";"2013-Feb-19";"9:30 AM";"41324.3958";"Carole Legault613-580-2424 ext. 28934
                Email: Carolea.Legault@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2398&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4866";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2398&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=4866";NULL;NULL;"<img src=""templates/classic/images/wmv.gif"" alt=""Windows Media Player"" border=""0"">";"2398";"1361352600"
"85";"Transit Commission";"2013-Feb-20";"9:30 AM";"41325.3958";"Melody Duffenais613-580-2424, ext./poste 20113
                Email: melody.duffenais@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2272&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4913";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2272&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=4913";NULL;NULL;"<img src=""templates/classic/images/wmv.gif"" alt=""Windows Media Player"" border=""0"">";"2272";"1361439000"
"86";"Community and Protective Services Committee";"2013-Feb-21";"9:30 AM";"41326.3958";"Marc Desjardins613-580-2424 x28821
                Email: Marc.Desjardins@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2333&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4880";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2333&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=4880";NULL;NULL;NULL;"2333";"1361525400"
